Institution;Number;Percent;Amount;Percent;Average Amount
Université du Québec en Abitibi-Témiscamingue;2;.024;51121;.003;25561
Université du Québec en Outaouais;4;.047;891100;.046;222775
Université Laval;235;2.77;67659282;3.46;287912
Universitat Basel, Switzerland;1;.012;100000;.005;100000
Universitat Ben Gurion Ba'Negev (Israel);1;.012;6000;0;6000
Universiteit Maastricht (The Netherlands);1;.012;11250;.001;11250
University College London (UK);4;.047;160690;.008;40173
University Health Network (Toronto);219;2.581;57424445;2.936;262212
University of Alberta;383;4.514;83878230;4.289;219003
University of Bristol (UK);1;.012;66250;.003;66250
University of British Columbia;710;8.369;163750919;8.374;230635
University of British Columbia Hospital (Vancouver, BC);1;.012;13334;.001;13334
University of Calgary;421;4.962;91717977;4.69;217857
University of California;1;.012;6000;0;6000
University of California (Berkeley);2;.024;65000;.003;32500
University of California (Davis);3;.035;251250;.013;83750
University of California (Irvine);1;.012;83750;.004;83750
University of California (Los Angeles);3;.035;203125;.01;67708
University of California (San Diego);3;.035;168750;.009;56250
University of California (San Francisco);6;.071;337250;.017;56208
University of Cambridge (UK);1;.012;11250;.001;11250
University of Chicago (Illinois);1;.012;50000;.003;50000
University of Colorado (Denver);2;.024;150000;.008;75000
University of Guelph;54;.636;9012885;.461;166905
University of Illinois at Chicago;1;.012;100000;.005;100000
University of Lethbridge (Alberta);10;.118;1887030;.096;188703
University of Liverpool (UK);1;.012;6000;0;6000
University of Manitoba;189;2.228;38546367;1.971;203949
University of Maryland;1;.012;61250;.003;61250
University of Melbourne (Australia);2;.024;63950;.003;31975
University of Michigan (Ann Arbor);5;.059;466250;.024;93250
University of Minnesota (Minneapolis);1;.012;100000;.005;100000
University of Nairobi (Kenya);1;.012;20000;.001;20000
University of New Brunswick (Fredericton);10;.118;610027;.031;61003
University of New Brunswick (St. John);1;.012;100000;.005;100000
University of Northern British Columbia;12;.141;2621928;.134;218494
University of Ontario Institute of Technology;11;.13;1184916;.061;107720
University of Ottawa;190;2.24;36000479;1.841;189476
University of Ottawa Heart Institute;41;.483;5805475;.297;141597
University of Ottawa Institute of Mental Health Research;5;.059;466366;.024;93273
University of Oxford (England);6;.071;132000;.007;22000
University of Pennsylvania (Philadelphia);2;.024;240000;.012;120000
University of Prince Edward Island (Charlottetown);7;.083;1641521;.084;234503
University of Regina (Saskatchewan);17;.2;3135132;.16;184420
University of Saskatchewan;73;.86;29615240;1.514;405688
University of South Australia;1;.012;56382;.003;56382
University of Southampton (UK);1;.012;5800;0;5800
University of Tampere (Finland);1;.012;6000;0;6000
University of Texas (Austin);2;.024;105000;.005;52500
University of Texas Southwestern Medical Center;3;.035;151250;.008;50417
University of The Fraser Valley (BC);7;.083;1171182;.06;167312
University of Tokyo (Japan);1;.012;5900;0;5900
University of Toronto;747;8.805;186484874;9.536;249645
University of Toronto Mississauga (ON);14;.165;3535717;.181;252551
University of Toronto Scarborough (ON);15;.177;2541448;.13;169430
University of Utah (Salt Lake City);1;.012;77500;.004;77500
University of Victoria (British Columbia);61;.719;10181751;.521;166914
University of Washington (Seattle);2;.024;161250;.008;80625
University of Waterloo (Ontario);65;.766;13167825;.673;202582
University of Western Ontario;237;2.793;41928164;2.144;176912
University of Windsor (Ontario);9;.106;1717881;.088;190876
University of Winnipeg;5;.059;1620188;.083;324038
University of Witwatersrand (South Africa);1;.012;5720;0;5720
Van Andel Institute (Grand Rapids, MI);1;.012;100000;.005;100000
Vancouver Coastal Health Authority;2;.024;28125;.001;14063
Vancouver Coastal Health Research Institute;29;.342;6401901;.327;220755
Vancouver General Hospital;2;.024;157975;.008;78988
Vancouver Island Health Authority;1;.012;19378;.001;19378
Vancouver Prostate Centre (BC);2;.024;415969;.021;207985
Vanderbilt University (Tennessee);2;.024;161250;.008;80625
Vanderbilt University Medical Center (Nashville, TN);1;.012;11250;.001;11250
Victoria University of Wellington (New Zealand);1;.012;6000;0;6000
Vrije Universiteit Amsterdam (Netherlands);2;.024;12000;.001;6000
Weill Cornell Medical College (New York, NY);1;.012;70000;.004;70000
Weizmann Institute of Science (Rehovot, Israel);2;.024;12000;.001;6000
West Park Hospital (Toronto);1;.012;10000;.001;10000
Whitehead Institute (Cambridge, UK);1;.012;33750;.002;33750
